,symbol,displaySymbol,name,slug,logo,temporaryDataDelay,price,percentage,percentage_1h,percentage_7d,changeValue,marketCap,volume,FullCount,rank,Status,market_cap_percent_change_1d,20DMA,CMP-20DMA,CMP-20DMA_%,3m_change%,ticker
0,bitcoin,btc,Bitcoin,bitcoin-btc,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,False,58110.0,-0.034218632919823494,-0.009279001142818155,-0.01614873117112227,-2055.0,1147092352588,20672037454.0,,1,active,-0.034262558931259235,59438.129,-1302.1189999999988,-2.2397804734105398,-15.947880639533917,BTC/USDT
1,ethereum,eth,Ethereum,ethereum-eth,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,False,2580.45,-0.029018907855741606,-0.015036531476650749,-0.003274163870548859,-77.0600000000004,310405785767,9152407163.0,,2,active,-0.028849701547634835,2687.273,-105.89300000000003,-4.102185652635413,-30.937226605453038,ETH/USDT
2,tether,usdt,Tether,tether-usdt,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,False,1.0,-0.0016863136863135984,0.0,-0.0006880000000000219,-0.0016879999999999118,116909151316,34859366020.0,,3,active,-0.0003093406196624582,2687.273,-105.89300000000003,-4.102185652635413,-30.937226605453038,USDT/USDT
3,binancecoin,bnb,BNB,bnb-bnb,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,False,533.43,-0.012927756653992447,-0.0032130314578196727,0.03740813661085,-6.970000000000027,77824021215,630861560.0,,4,active,-0.012966818342883707,520.465,14.034999999999968,2.625818521983156,-13.061158100195177,BNB/USDT
4,solana,sol,Solana,solana-sol,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,False,141.08,-0.01921737919509811,-0.012057483350858737,-0.04611634048892784,-2.759999999999991,65742829235,2654803835.0,,5,active,-0.02197440429632883,147.5315,-6.1614999999999895,-4.3584211643205695,-20.10737496467928,SOL/USDT
5,usd-coin,usdc,USDC,usdc-usdc,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,False,1.0,-0.003004995004994905,-2.1003108459989815e-05,-0.003004995004994905,-0.0030079999999998996,34797689404,4460639052.0,,6,active,-0.001079308906658472,0.999925,-0.0003249999999999087,-0.0325130052020717,-0.07996801279487324,USDC/USDT
6,ripple,xrp,XRP,xrp-xrp,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,False,0.582759,0.019812999324856483,-0.004693992100813773,0.006937006220043364,0.011268999999999973,32713526288,1101469872.0,,7,active,0.026633134862949354,0.5670499999999999,0.017850000000000033,3.051803727132849,11.028853454821549,XRP/USDT
7,staked-ether,steth,Lido Staked Ether,lido-staked-ether-steth,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,False,2578.84,-0.028610066825883473,-0.015247606458169315,-0.0027534679387275617,-75.94999999999982,25331225770,37096709.0,,8,active,-0.027358182133333374,0.5670499999999999,0.017850000000000033,3.051803727132849,11.028853454821549,STETH/USDT
8,the-open-network,ton,Toncoin,toncoin-ton,https://coin-images.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,False,6.78,0.02571860816944023,-0.0029325513196481615,0.07109004739336496,0.16999999999999993,17134958028,616900128.0,,9,active,0.02899317395381383,,,,9.231264072048887,TON/USDT
9,dogecoin,doge,Dogecoin,dogecoin-doge,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,False,0.099114,-0.03841077597919339,-0.010683931207852864,-0.048110361788383696,-0.003958000000000003,14432429189,469077689.0,,10,active,-0.039665354118238925,0.10436300000000001,-0.004933000000000007,-4.961279291964202,-40.20327159008901,DOGE/USDT
10,tron,trx,TRON,tron-trx,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,False,0.136688,0.017870361370110912,0.0033340432250626786,0.06398893265803789,0.0023900000000000032,11879630610,402113913.0,,11,active,0.021560187617828328,0.1286,0.009099999999999997,6.6085693536673915,14.683101524110931,TRX/USDT
11,cardano,ada,Cardano,cardano-ada,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,False,0.329124,-0.01878959628481136,-0.010762641821323918,-0.021709994940843403,-0.006332000000000004,11724734436,194512852.0,,12,active,-0.023199825682582553,0.343195,-0.013194999999999957,-3.998484848484835,-31.74767321613236,ADA/USDT
12,wrapped-steth,wsteth,Wrapped stETH,wrapped-steth-wsteth,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,False,3031.3,-0.023333237021127634,-0.013849010343672717,0.0026002702435487172,-72.67999999999984,10563909369,61342669.0,,13,active,-0.030096745923399906,0.343195,-0.013194999999999957,-3.998484848484835,-31.74767321613236,WSTETH/USDT
13,wrapped-bitcoin,wbtc,Wrapped Bitcoin,wrapped-bitcoin-wbtc,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,False,57983.0,-0.031298486794908154,-0.009939542985961676,-0.015380702051890792,-1876.0,8936389917,169898682.0,,14,active,-0.03401878577125859,59436.09650000001,-1336.1165000000037,-2.299684956862298,-16.032410055649855,WBTC/USDT
14,avalanche-2,avax,Avalanche,avalanche-avax,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,False,20.61,-0.015774378585086127,-0.009134615384615446,-0.0319699106723084,-0.33000000000000185,8147050267,196959952.0,,15,active,-0.018193013319822416,21.5985,-0.8985000000000021,-4.340579710144938,-48.25000000000001,AVAX/USDT
15,shiba-inu,shib,Shiba Inu,shiba-inu-shib,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,False,1.304e-05,-0.028294862248696928,-0.01062215477996955,-0.05228758169934639,-3.7999999999999975e-07,7686539608,126788743.0,,16,active,-0.027595745158658803,1.3844000000000002e-05,-7.740000000000014e-07,-5.921958684009192,-48.40110540860639,SHIB/USDT
16,weth,weth,WETH,weth-weth,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,False,2576.94,-0.026918164108863177,-0.014454092396123218,-0.0019477733935700148,-71.4399999999996,7437502117,798887576.0,,17,active,-0.027083374251415205,1.3844000000000002e-05,-7.740000000000014e-07,-5.921958684009192,-48.40110540860639,WETH/USDT
17,bitcoin-cash,bch,Bitcoin Cash,bitcoin-cash-bch,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,False,331.78,-0.03567473039930052,-0.006884578544061337,-0.05214003323210906,-12.240000000000009,6553102672,136768670.0,,18,active,-0.03537775936220644,347.64,-14.839999999999975,-4.459134615384608,-33.3066132264529,BCH/USDT
18,polkadot,dot,Polkadot,polkadot-dot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,False,4.38,-0.002277904328018175,-0.00680272108843543,-0.041575492341356754,-0.009999999999999787,6140704685,124022411.0,,19,active,-0.001036592077034986,4.651549999999999,-0.24954999999999927,-5.669014084507026,-41.04727467523771,DOT/USDT
19,chainlink,link,Chainlink,chainlink-link,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,False,10.01,-0.017647058823529384,-0.01283316880552821,-0.03094777562862672,-0.17999999999999972,6091840656,210783990.0,,20,active,-0.017665108639766797,10.658000000000001,-0.6380000000000017,-6.367265469061893,-38.73058578940932,LINK/USDT
20,leo-token,leo,LEO Token,leo-token-leo,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,False,5.79,0.0017301038062283367,0.0017301038062283367,0.0017301038062283367,0.009999999999999787,5356837428,1266488.0,,21,active,-0.001135294814709477,10.658000000000001,-0.6380000000000017,-6.367265469061893,-38.73058578940932,LEO/USDT
21,dai,dai,Dai,dai-dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,False,1.0,-0.0028518850960485074,0.0001470720653120111,-0.004506493506493439,-0.002850000000000019,5260623440,104076620.0,,22,active,-0.003561635682749262,10.658000000000001,-0.6380000000000017,-6.367265469061893,-38.73058578940932,DAI/USDT
22,litecoin,ltc,Litecoin,litecoin-ltc,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,False,66.96,-0.012429712932820412,0.0002988196623337221,0.09391902966726762,-0.8400000000000034,5013655634,257095367.0,,23,active,-0.008649525101608836,63.331,3.5589999999999975,5.320675736283446,-22.021450221496853,LTC/USDT
23,uniswap,uni,Uniswap,uniswap-uni,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,False,6.16,-0.04212168486739477,-0.004846526655896647,0.014876033057851217,-0.27000000000000046,4640304572,87997886.0,,24,active,-0.04025167023196284,6.2776499999999995,-0.10864999999999991,-1.7612254822499582,-33.695184866724,UNI/USDT
24,near,near,NEAR Protocol,near-protocol-near,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,False,3.85,-0.03980099502487555,-0.015345268542199501,-0.032581453634085294,-0.1599999999999997,4263520938,125917180.0,,25,active,-0.04252824493446548,4.11685,-0.24685000000000024,-6.378552971576233,-51.540195341848225,NEAR/USDT
